WHEAT,ORE,WOOD,BRICK,SHEEP,TOTAL,POINTS PER TURN
0,0,3,0,18,21,0.05263157894736842
3,6,2,5,5,21,0.06578947368421052
5,6,0,10,0,21,0.06578947368421052
4,4,0,4,9,21,0.14473684210526316
2,8,8,0,5,23,0.0945945945945946
2,0,7,8,5,22,0.13513513513513514
9,10,0,0,2,21,0.08108108108108109
3,3,3,2,10,21,0.08108108108108109
0,0,13,0,8,21,0.05063291139240506
0,13,0,0,7,20,0.05063291139240506
9,0,5,3,4,21,0.12658227848101267
10,0,0,5,5,20,0.06329113924050633
11,5,4,0,1,21,0.16393442622950818
8,2,0,3,8,21,0.11475409836065574
0,5,6,3,8,22,0.04918032786885246
14,2,5,0,0,21,0.04918032786885246
7,0,4,0,11,22,0.07228915662650602
0,3,11,5,2,21,0.060240963855421686
8,4,0,2,7,21,0.12048192771084337
0,11,0,7,4,22,0.024096385542168676
2,5,2,3,9,21,0.10309278350515463
2,6,0,9,4,21,0.07216494845360824
4,0,5,7,5,21,0.061855670103092786
8,1,3,0,10,22,0.07216494845360824
2,0,2,10,9,23,0.08139534883720931
7,7,4,0,4,22,0.11627906976744186
5,4,7,5,0,21,0.10465116279069768
8,6,0,5,1,20,0.05813953488372093
5,4,5,0,7,21,0.08791208791208792
9,2,7,0,3,21,0.054945054945054944
13,0,3,2,3,21,0.10989010989010989
8,9,3,1,0,21,0.07692307692307693
0,5,5,3,8,21,0.03409090909090909
3,0,2,3,13,21,0.056818181818181816
2,9,2,7,0,20,0.056818181818181816
4,4,5,3,3,19,0.11363636363636363
4,0,4,13,0,21,0.0625
0,6,2,3,9,20,0.025
9,3,4,5,0,21,0.1
4,2,8,2,5,21,0.125
3,5,4,0,10,22,0.04477611940298507
0,13,0,0,7,20,0.08955223880597014
2,5,9,3,2,21,0.14925373134328357
3,5,8,3,4,23,0.08955223880597014
0,4,5,0,13,22,0.046052631578947366
8,0,6,8,0,22,0.05921052631578947
0,0,12,0,9,21,0.046052631578947366
3,9,0,11,0,23,0.06578947368421052
7,9,0,2,4,22,0.056074766355140186
5,8,3,5,0,21,0.08411214953271028
7,5,0,4,5,21,0.09345794392523364
5,2,6,0,9,22,0.08411214953271028
4,0,3,14,0,21,0.02631578947368421
0,7,3,5,5,20,0.039473684210526314
8,0,2,4,8,22,0.10526315789473684
7,7,4,5,0,23,0.13157894736842105
4,0,10,0,7,21,0.05813953488372093
2,2,10,3,4,21,0.11627906976744186
0,2,0,11,8,21,0.023255813953488372
8,0,1,3,9,21,0.09302325581395349
0,14,2,4,0,20,0.06542056074766354
3,0,5,8,5,21,0.07476635514018691
5,3,3,0,10,21,0.09345794392523364
5,0,16,0,2,23,0.04672897196261682
4,0,9,0,9,22,0.05128205128205128
7,8,0,0,5,20,0.1282051282051282
